,question,article_id
0,How to make an explosive in FC5?,62697
1,Are there any news on when AC Jade will be available?,105862
2,Is it possible to continue my progression if I started playing the Division 2 on Stadia before the shutdown?,102641
3,Will Starlink run on a GPU with 2GB RAM? Is there a Linux version of the game?,99148
4,How to report a toxic playing behavior in Mario + Rabbids?,60916
5,I have an error BE8A522E. What does it mean?,99148
6,"I wanted to play HoMM IV after a long break, but I lost all my rewards. Where can I restore them?",61934
7,How to sign up for Just Dance+?,62697
8,I can't find the Discovery Tour in ACV despite the fact that I bought the game. Where is it in the game?,62780
9,Comment puis-je informer les développeurs d'Ubisoft d'un bug dans Far Cry 6 ?,62697
10,Est-il possible d'obtenir un Alpha Pack gratuitement dans R6S ?,80983
11,Quelle est la signification des anneaux blancs projetés au sol dans ACO ?,62697
12,"Comment résoudre le problème ""Service Ubisoft non disponible""?",105862
13,Puis-je changer le nom de famille de mon compte ?,62697
14,J'aimerais lancer le jeu dans une fenêtre. Est-il possible ?,99148
15,"comment restaurer les pièces perdues dans la ""forgotten saga""",105862
16,J'obtiens l'erreur 17008. Que dois-je faire ?,64832
17,Quelle est l'histoire du jeu du FH ?,105862
18,Y a-t-il des défis coopératifs dans Mario + Lapins Crétins 1 ?,62697
19,¿Es posible jugar Trials Rising con un amigo en PS4 si estoy en Xbox?,62697
20,¿Puedo comprar algunos créditos de billetera a una amiga?,102641
21,¿Cómo llegar a la campaña de Jack The Ripper en ACS?,62697
22,"¿Cuál es la diferencia entre las ediciones ""deluxe"" y ""golden"" del R6S?",65237
23,"¿Cómo desbloquear la misión ""Secretos de las pirámides""?",105862
24,No se puede conectar a los servidores de Ubisoft en AC Valhalla.,105862
25,¿Es posible asociar mis perfiles de Ubisoft y Youtube?,105862
26,¿Es posible modificar la dificultad de Starlink sin reiniciar todo el juego?,102641
27,"¿Dónde conseguir las recompensas ""Ubi Connect"" para Far Cry 4?",105862
